14587,29,23,1,2016,winter
15499,28,29,1,2016,winter
19593,23,28,1,2016,winter
18053,48,23,1,2016,winter
24569,60,48,1,2016,winter
27773,68,60,1,2016,winter
28709,38,68,1,2016,winter
20846,30,38,1,2016,winter
14275,26,30,1,2016,winter
22937,31,26,1,2016,winter
25211,45,31,1,2016,winter
21133,31,45,1,2016,winter
23780,41,31,1,2016,winter
28435,52,41,1,2016,winter
19178,36,52,1,2016,winter
12024,27,36,1,2016,winter
12718,25,27,1,2016,winter
17281,30,25,1,2016,winter
23420,40,30,1,2016,winter
23672,29,40,1,2016,winter
20950,43,29,1,2016,winter
6761,40,43,1,2016,winter
11946,81,40,1,2016,winter
16028,42,81,1,2016,winter
12973,30,42,1,2016,winter
16118,30,30,1,2016,winter
24334,35,30,2,2016,winter
28528,35,35,2,2016,winter
16203,26,35,2,2016,winter
27766,22,26,2,2016,winter
13670,25,22,2,2016,winter
16933,32,25,2,2016,winter
17605,33,32,2,2016,winter
19026,25,33,2,2016,winter
22741,30,25,2,2016,winter
22420,28,30,2,2016,winter
18748,25,28,2,2016,winter
16449,31,25,2,2016,winter
6625,21,31,2,2016,winter
4653,26,21,2,2016,winter
5884,34,26,2,2016,winter
14542,26,34,2,2016,winter
23572,23,26,2,2016,winter
22261,29,23,2,2016,winter
21959,34,29,2,2016,winter
24484,26,34,2,2016,winter
20052,27,26,2,2016,winter
28233,27,27,2,2016,winter
16133,24,27,2,2016,winter
9761,28,24,2,2016,winter
25102,22,28,2,2016,winter
22573,15,22,2,2016,winter
17226,27,15,2,2016,winter
25437,26,27,2,2016,winter
27954,33,26,2,2016,winter
30509,32,33,3,2016,spring
26195,25,32,3,2016,spring
24061,29,25,3,2016,spring
17369,25,29,3,2016,spring
18023,28,25,3,2016,spring
18832,31,28,3,2016,spring
31492,28,31,3,2016,spring
36521,40,28,3,2016,spring
41490,10,40,3,2016,spring
42252,32,10,3,2016,spring
38195,22,32,3,2016,spring
32771,23,22,3,2016,spring
27550,29,23,3,2016,spring
10930,31,29,3,2016,spring
31596,35,31,3,2016,spring
36067,44,35,3,2016,spring
35390,28,44,3,2016,spring
34647,22,28,3,2016,spring
24048,24,22,3,2016,spring
16678,21,24,3,2016,spring
26414,25,21,3,2016,spring
33497,20,25,3,2016,spring
40983,33,20,3,2016,spring
36495,31,33,3,2016,spring
34097,35,31,3,2016,spring
27478,22,35,3,2016,spring
22483,25,22,3,2016,spring
20345,36,25,3,2016,spring
31481,16,36,3,2016,spring
33684,34,16,3,2016,spring
38348,25,34,3,2016,spring
34449,20,25,4,2016,spring
21839,19,20,4,2016,spring
15322,13,19,4,2016,spring
12302,32,13,4,2016,spring
26238,25,32,4,2016,spring
29365,25,25,4,2016,spring
30402,25,25,4,2016,spring
30817,29,25,4,2016,spring
12702,30,29,4,2016,spring
23229,15,30,4,2016,spring
32048,25,15,4,2016,spring
23765,18,25,4,2016,spring
37539,27,18,4,2016,spring
38505,30,27,4,2016,spring
39676,32,30,4,2016,spring
36148,31,32,4,2016,spring
38843,26,31,4,2016,spring
43994,40,26,4,2016,spring
46075,32,40,4,2016,spring
44547,34,32,4,2016,spring
45570,32,34,4,2016,spring
48815,39,32,4,2016,spring
33647,19,39,4,2016,spring
37866,25,19,4,2016,spring
42308,40,25,4,2016,spring
34643,34,40,4,2016,spring
41931,22,34,4,2016,spring
37428,31,22,4,2016,spring
34878,31,31,4,2016,spring
38258,24,31,4,2016,spring
10697,21,24,5,2016,spring
38537,28,21,5,2016,spring
22858,24,28,5,2016,spring
31619,25,24,5,2016,spring
39903,19,25,5,2016,spring
18860,25,19,5,2016,spring
31078,22,25,5,2016,spring
31197,22,22,5,2016,spring
45724,25,22,5,2016,spring
44849,28,25,5,2016,spring
51181,33,28,5,2016,spring
52273,35,33,5,2016,spring
32391,36,35,5,2016,spring
42063,22,36,5,2016,spring
28661,8,22,5,2016,spring
42787,19,8,5,2016,spring
43396,25,19,5,2016,spring
44803,5,25,5,2016,spring
49182,28,5,5,2016,spring
52543,31,28,5,2016,spring
30519,25,31,5,2016,spring
37802,22,25,5,2016,spring
48578,32,22,5,2016,spring
34796,31,32,5,2016,spring
53439,37,31,5,2016,spring
52133,45,37,5,2016,spring
46937,34,45,5,2016,spring
34222,34,34,5,2016,spring
36877,18,34,5,2016,spring
32619,19,18,5,2016,spring
49756,27,19,5,2016,spring
54665,33,27,6,2016,summer
54401,21,33,6,2016,summer
38975,19,21,6,2016,summer
40977,22,19,6,2016,summer
22397,18,22,6,2016,summer
52149,20,18,6,2016,summer
51812,23,20,6,2016,summer
42250,18,23,6,2016,summer
52905,16,18,6,2016,summer
53299,21,16,6,2016,summer
41030,25,21,6,2016,summer
40637,19,25,6,2016,summer
49069,11,19,6,2016,summer
54813,20,11,6,2016,summer
55049,28,20,6,2016,summer
46198,40,28,6,2016,summer
54236,27,40,6,2016,summer
48901,37,27,6,2016,summer
45270,25,37,6,2016,summer
52247,28,25,6,2016,summer
53564,32,28,6,2016,summer
55749,27,32,6,2016,summer
53206,37,27,6,2016,summer
54186,29,37,6,2016,summer
43000,23,29,6,2016,summer
42992,21,23,6,2016,summer
47023,21,21,6,2016,summer
49593,22,21,6,2016,summer
54882,21,22,6,2016,summer
54843,27,21,6,2016,summer
39669,26,27,7,2016,summer
35837,17,26,7,2016,summer
35348,19,17,7,2016,summer
34860,17,19,7,2016,summer
43744,19,17,7,2016,summer
51353,35,19,7,2016,summer
48742,32,35,7,2016,summer
44419,30,32,7,2016,summer
38142,14,30,7,2016,summer
41991,12,14,7,2016,summer
52870,21,12,7,2016,summer
56537,24,21,7,2016,summer
55486,25,24,7,2016,summer
50350,39,25,7,2016,summer
48572,28,39,7,2016,summer
38406,24,28,7,2016,summer
41347,22,24,7,2016,summer
43687,25,22,7,2016,summer
54593,21,25,7,2016,summer
57225,25,21,7,2016,summer
54842,29,25,7,2016,summer
49191,25,29,7,2016,summer
37523,16,25,7,2016,summer
39637,19,16,7,2016,summer
35379,23,19,7,2016,summer
52912,17,23,7,2016,summer
